"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",5,"Yes","Yes","Nfad_2015","SE",4859.71
"2",1,"3",5,"No","Yes","Nfad_2015","SE",9393.26
"3",1,"3",5,"Yes","Yes","Nfad_2020","SE",7234.86
"4",1,"3",5,"No","Yes","Nfad_2020","SE",12018.39
"5",1,"3",5,"Yes","Yes","Nfad_2025","SE",10238.57
"6",1,"3",5,"No","Yes","Nfad_2025","SE",21551.18
"7",1,"3",5,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",5,"No","Yes","fadsurv","SE",0.02
"9",1,"3",5,"Yes","Yes","fjusurv","SE",0.05
"10",1,"3",5,"No","Yes","fjusurv","SE",0.06
"11",1,"3",5,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"3",5,"No","Yes","ppn_breedy","SE",0.3
"13",1,"3",5,"Yes","Yes","rel_ad_15_25","SE",0.11
"14",1,"3",5,"No","Yes","rel_ad_15_25","SE",0.34
