"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",3,"Yes","Yes","Nfad_2015","SE",3409.28
"2",1,"1",3,"No","Yes","Nfad_2015","SE",8765.6
"3",1,"1",3,"Yes","Yes","Nfad_2020","SE",4300.3
"4",1,"1",3,"No","Yes","Nfad_2020","SE",7330.53
"5",1,"1",3,"Yes","Yes","Nfad_2025","SE",5909.68
"6",1,"1",3,"No","Yes","Nfad_2025","SE",9994.57
"7",1,"1",3,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",3,"No","Yes","fadsurv","SE",0.01
"9",1,"1",3,"Yes","Yes","fjusurv","SE",0.03
"10",1,"1",3,"No","Yes","fjusurv","SE",0.04
"11",1,"1",3,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"1",3,"No","Yes","ppn_breedy","SE",0.22
"13",1,"1",3,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",1,"1",3,"No","Yes","rel_ad_15_25","SE",0.17
