"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",7,"Yes","Yes","Nfad_2015","SE",3780.85
"2",1,"1",7,"No","Yes","Nfad_2015","SE",8845.26
"3",1,"1",7,"Yes","Yes","Nfad_2020","SE",4941.92
"4",1,"1",7,"No","Yes","Nfad_2020","SE",8535.75
"5",1,"1",7,"Yes","Yes","Nfad_2025","SE",6862.47
"6",1,"1",7,"No","Yes","Nfad_2025","SE",12479.25
"7",1,"1",7,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",7,"No","Yes","fadsurv","SE",0.02
"9",1,"1",7,"Yes","Yes","fjusurv","SE",0.03
"10",1,"1",7,"No","Yes","fjusurv","SE",0.05
"11",1,"1",7,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"1",7,"No","Yes","ppn_breedy","SE",0.25
"13",1,"1",7,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",1,"1",7,"No","Yes","rel_ad_15_25","SE",0.19
