"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",5,"Yes","Yes","Nfad_2015","SE",821.21
"2",2,"3",5,"No","Yes","Nfad_2015","SE",1370.07
"3",2,"3",5,"Yes","Yes","Nfad_2020","SE",1179.85
"4",2,"3",5,"No","Yes","Nfad_2020","SE",2284.09
"5",2,"3",5,"Yes","Yes","Nfad_2025","SE",1539.16
"6",2,"3",5,"No","Yes","Nfad_2025","SE",3731.15
"7",2,"3",5,"Yes","Yes","fadsurv","SE",0.01
"8",2,"3",5,"No","Yes","fadsurv","SE",0.02
"9",2,"3",5,"Yes","Yes","fjusurv","SE",0.03
"10",2,"3",5,"No","Yes","fjusurv","SE",0.04
"11",2,"3",5,"Yes","Yes","ppn_breedy","SE",0.02
"12",2,"3",5,"No","Yes","ppn_breedy","SE",0.16
"13",2,"3",5,"Yes","Yes","rel_ad_15_25","SE",0.05
"14",2,"3",5,"No","Yes","rel_ad_15_25","SE",0.16
