"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",2,"Yes","Yes","Nfad_2015","SE",661.78
"2",2,"1",2,"No","Yes","Nfad_2015","SE",1387.92
"3",2,"1",2,"Yes","Yes","Nfad_2020","SE",852.37
"4",2,"1",2,"No","Yes","Nfad_2020","SE",1355.33
"5",2,"1",2,"Yes","Yes","Nfad_2025","SE",1116.35
"6",2,"1",2,"No","Yes","Nfad_2025","SE",2009.74
"7",2,"1",2,"Yes","Yes","fadsurv","SE",0
"8",2,"1",2,"No","Yes","fadsurv","SE",0.01
"9",2,"1",2,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",2,"No","Yes","fjusurv","SE",0.03
"11",2,"1",2,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",2,"No","Yes","ppn_breedy","SE",0.13
"13",2,"1",2,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"1",2,"No","Yes","rel_ad_15_25","SE",0.09
