"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",1,"Yes","Yes","Nfad_2015","SE",4562.39
"2",1,"3",1,"No","Yes","Nfad_2015","SE",9438.8
"3",1,"3",1,"Yes","Yes","Nfad_2020","SE",6611.98
"4",1,"3",1,"No","Yes","Nfad_2020","SE",9961.41
"5",1,"3",1,"Yes","Yes","Nfad_2025","SE",9280.49
"6",1,"3",1,"No","Yes","Nfad_2025","SE",17352.02
"7",1,"3",1,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",1,"No","Yes","fadsurv","SE",0.02
"9",1,"3",1,"Yes","Yes","fjusurv","SE",0.04
"10",1,"3",1,"No","Yes","fjusurv","SE",0.05
"11",1,"3",1,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"3",1,"No","Yes","ppn_breedy","SE",0.29
"13",1,"3",1,"Yes","Yes","rel_ad_15_25","SE",0.1
"14",1,"3",1,"No","Yes","rel_ad_15_25","SE",0.28
