"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",1,"Yes","Yes","Nfad_2015","SE",742.66
"2",2,"3",1,"No","Yes","Nfad_2015","SE",1291.98
"3",2,"3",1,"Yes","Yes","Nfad_2020","SE",1043.86
"4",2,"3",1,"No","Yes","Nfad_2020","SE",1753.54
"5",2,"3",1,"Yes","Yes","Nfad_2025","SE",1359.52
"6",2,"3",1,"No","Yes","Nfad_2025","SE",2887.02
"7",2,"3",1,"Yes","Yes","fadsurv","SE",0.01
"8",2,"3",1,"No","Yes","fadsurv","SE",0.01
"9",2,"3",1,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",1,"No","Yes","fjusurv","SE",0.03
"11",2,"3",1,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",1,"No","Yes","ppn_breedy","SE",0.15
"13",2,"3",1,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",2,"3",1,"No","Yes","rel_ad_15_25","SE",0.13
