"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",4,"Yes","Yes","Nfad_2015","SE",3093.88
"2",1,"1",4,"No","Yes","Nfad_2015","SE",8458.88
"3",1,"1",4,"Yes","Yes","Nfad_2020","SE",3658.9
"4",1,"1",4,"No","Yes","Nfad_2020","SE",6669.66
"5",1,"1",4,"Yes","Yes","Nfad_2025","SE",4934.2
"6",1,"1",4,"No","Yes","Nfad_2025","SE",8265.39
"7",1,"1",4,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",4,"No","Yes","fadsurv","SE",0.01
"9",1,"1",4,"Yes","Yes","fjusurv","SE",0.03
"10",1,"1",4,"No","Yes","fjusurv","SE",0.04
"11",1,"1",4,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"1",4,"No","Yes","ppn_breedy","SE",0.21
"13",1,"1",4,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",1,"1",4,"No","Yes","rel_ad_15_25","SE",0.14
