"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",4,"Yes","Yes","Nfad_2015","SE",3242.45
"2",1,"3",4,"No","Yes","Nfad_2015","SE",8570.49
"3",1,"3",4,"Yes","Yes","Nfad_2020","SE",3936.36
"4",1,"3",4,"No","Yes","Nfad_2020","SE",6588.36
"5",1,"3",4,"Yes","Yes","Nfad_2025","SE",5261.34
"6",1,"3",4,"No","Yes","Nfad_2025","SE",8303.65
"7",1,"3",4,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",4,"No","Yes","fadsurv","SE",0.01
"9",1,"3",4,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",4,"No","Yes","fjusurv","SE",0.04
"11",1,"3",4,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",4,"No","Yes","ppn_breedy","SE",0.21
"13",1,"3",4,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",1,"3",4,"No","Yes","rel_ad_15_25","SE",0.15
