"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",4,"Yes","Yes","Nfad_2015","SE",469.57
"2",2,"3",4,"No","Yes","Nfad_2015","SE",1027.94
"3",2,"3",4,"Yes","Yes","Nfad_2020","SE",534.5
"4",2,"3",4,"No","Yes","Nfad_2020","SE",805.14
"5",2,"3",4,"Yes","Yes","Nfad_2025","SE",670.93
"6",2,"3",4,"No","Yes","Nfad_2025","SE",1049.35
"7",2,"3",4,"Yes","Yes","fadsurv","SE",0
"8",2,"3",4,"No","Yes","fadsurv","SE",0.01
"9",2,"3",4,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",4,"No","Yes","fjusurv","SE",0.02
"11",2,"3",4,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",4,"No","Yes","ppn_breedy","SE",0.1
"13",2,"3",4,"Yes","Yes","rel_ad_15_25","SE",0.02
"14",2,"3",4,"No","Yes","rel_ad_15_25","SE",0.05
