"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",2,"Yes","Yes","Nfad_2015","SE",3844.15
"2",1,"1",2,"No","Yes","Nfad_2015","SE",9117.67
"3",1,"1",2,"Yes","Yes","Nfad_2020","SE",5188.41
"4",1,"1",2,"No","Yes","Nfad_2020","SE",8391.68
"5",1,"1",2,"Yes","Yes","Nfad_2025","SE",7243.96
"6",1,"1",2,"No","Yes","Nfad_2025","SE",12693.53
"7",1,"1",2,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",2,"No","Yes","fadsurv","SE",0.02
"9",1,"1",2,"Yes","Yes","fjusurv","SE",0.03
"10",1,"1",2,"No","Yes","fjusurv","SE",0.05
"11",1,"1",2,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"1",2,"No","Yes","ppn_breedy","SE",0.25
"13",1,"1",2,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",1,"1",2,"No","Yes","rel_ad_15_25","SE",0.2
