"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",1,"Yes","Yes","Nfad_2015","SE",805.51
"2",2,"1",1,"No","Yes","Nfad_2015","SE",1510.88
"3",2,"1",1,"Yes","Yes","Nfad_2020","SE",1129.24
"4",2,"1",1,"No","Yes","Nfad_2020","SE",1945.45
"5",2,"1",1,"Yes","Yes","Nfad_2025","SE",1495.6
"6",2,"1",1,"No","Yes","Nfad_2025","SE",3157.81
"7",2,"1",1,"Yes","Yes","fadsurv","SE",0.01
"8",2,"1",1,"No","Yes","fadsurv","SE",0.01
"9",2,"1",1,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",1,"No","Yes","fjusurv","SE",0.03
"11",2,"1",1,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",1,"No","Yes","ppn_breedy","SE",0.15
"13",2,"1",1,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",2,"1",1,"No","Yes","rel_ad_15_25","SE",0.13
