"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",8,"Yes","Yes","Nfad_2015","SE",583.91
"2",2,"1",8,"No","Yes","Nfad_2015","SE",1305.16
"3",2,"1",8,"Yes","Yes","Nfad_2020","SE",680.52
"4",2,"1",8,"No","Yes","Nfad_2020","SE",1195.36
"5",2,"1",8,"Yes","Yes","Nfad_2025","SE",875.21
"6",2,"1",8,"No","Yes","Nfad_2025","SE",1588.69
"7",2,"1",8,"Yes","Yes","fadsurv","SE",0
"8",2,"1",8,"No","Yes","fadsurv","SE",0.01
"9",2,"1",8,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",8,"No","Yes","fjusurv","SE",0.03
"11",2,"1",8,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",8,"No","Yes","ppn_breedy","SE",0.12
"13",2,"1",8,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"1",8,"No","Yes","rel_ad_15_25","SE",0.07
