"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",7,"Yes","Yes","Nfad_2015","SE",647.45
"2",2,"1",7,"No","Yes","Nfad_2015","SE",1376.03
"3",2,"1",7,"Yes","Yes","Nfad_2020","SE",807.19
"4",2,"1",7,"No","Yes","Nfad_2020","SE",1379.19
"5",2,"1",7,"Yes","Yes","Nfad_2025","SE",1052.42
"6",2,"1",7,"No","Yes","Nfad_2025","SE",1944.83
"7",2,"1",7,"Yes","Yes","fadsurv","SE",0
"8",2,"1",7,"No","Yes","fadsurv","SE",0.01
"9",2,"1",7,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",7,"No","Yes","fjusurv","SE",0.03
"11",2,"1",7,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",7,"No","Yes","ppn_breedy","SE",0.13
"13",2,"1",7,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"1",7,"No","Yes","rel_ad_15_25","SE",0.08
