"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",3,"Yes","Yes","Nfad_2015","SE",528.7
"2",2,"3",3,"No","Yes","Nfad_2015","SE",1097.39
"3",2,"3",3,"Yes","Yes","Nfad_2020","SE",645.4
"4",2,"3",3,"No","Yes","Nfad_2020","SE",946.32
"5",2,"3",3,"Yes","Yes","Nfad_2025","SE",823.36
"6",2,"3",3,"No","Yes","Nfad_2025","SE",1341.07
"7",2,"3",3,"Yes","Yes","fadsurv","SE",0
"8",2,"3",3,"No","Yes","fadsurv","SE",0.01
"9",2,"3",3,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",3,"No","Yes","fjusurv","SE",0.02
"11",2,"3",3,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",3,"No","Yes","ppn_breedy","SE",0.11
"13",2,"3",3,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"3",3,"No","Yes","rel_ad_15_25","SE",0.06
