"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",2,"Yes","Yes","Nfad_2015","SE",3965.62
"2",1,"3",2,"No","Yes","Nfad_2015","SE",9132.46
"3",1,"3",2,"Yes","Yes","Nfad_2020","SE",5386.61
"4",1,"3",2,"No","Yes","Nfad_2020","SE",8029.72
"5",1,"3",2,"Yes","Yes","Nfad_2025","SE",7442.36
"6",1,"3",2,"No","Yes","Nfad_2025","SE",12499.87
"7",1,"3",2,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",2,"No","Yes","fadsurv","SE",0.02
"9",1,"3",2,"Yes","Yes","fjusurv","SE",0.04
"10",1,"3",2,"No","Yes","fjusurv","SE",0.05
"11",1,"3",2,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"3",2,"No","Yes","ppn_breedy","SE",0.26
"13",1,"3",2,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",1,"3",2,"No","Yes","rel_ad_15_25","SE",0.21
