"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",7,"Yes","Yes","Nfad_2015","SE",568.65
"2",2,"3",7,"No","Yes","Nfad_2015","SE",1161.65
"3",2,"3",7,"Yes","Yes","Nfad_2020","SE",709.01
"4",2,"3",7,"No","Yes","Nfad_2020","SE",1097.34
"5",2,"3",7,"Yes","Yes","Nfad_2025","SE",909.78
"6",2,"3",7,"No","Yes","Nfad_2025","SE",1574
"7",2,"3",7,"Yes","Yes","fadsurv","SE",0
"8",2,"3",7,"No","Yes","fadsurv","SE",0.01
"9",2,"3",7,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",7,"No","Yes","fjusurv","SE",0.02
"11",2,"3",7,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",7,"No","Yes","ppn_breedy","SE",0.12
"13",2,"3",7,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"3",7,"No","Yes","rel_ad_15_25","SE",0.07
