"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",3,"Yes","Yes","Nfad_2015","SE",568.25
"2",2,"1",3,"No","Yes","Nfad_2015","SE",1284.13
"3",2,"1",3,"Yes","Yes","Nfad_2020","SE",674.02
"4",2,"1",3,"No","Yes","Nfad_2020","SE",1086.32
"5",2,"1",3,"Yes","Yes","Nfad_2025","SE",869.99
"6",2,"1",3,"No","Yes","Nfad_2025","SE",1470.42
"7",2,"1",3,"Yes","Yes","fadsurv","SE",0
"8",2,"1",3,"No","Yes","fadsurv","SE",0.01
"9",2,"1",3,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",3,"No","Yes","fjusurv","SE",0.02
"11",2,"1",3,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",3,"No","Yes","ppn_breedy","SE",0.11
"13",2,"1",3,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"1",3,"No","Yes","rel_ad_15_25","SE",0.07
