"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",6,"Yes","Yes","Nfad_2015","SE",652.28
"2",2,"3",6,"No","Yes","Nfad_2015","SE",1236.46
"3",2,"3",6,"Yes","Yes","Nfad_2020","SE",870.58
"4",2,"3",6,"No","Yes","Nfad_2020","SE",1378.75
"5",2,"3",6,"Yes","Yes","Nfad_2025","SE",1128.2
"6",2,"3",6,"No","Yes","Nfad_2025","SE",2125.77
"7",2,"3",6,"Yes","Yes","fadsurv","SE",0
"8",2,"3",6,"No","Yes","fadsurv","SE",0.01
"9",2,"3",6,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",6,"No","Yes","fjusurv","SE",0.03
"11",2,"3",6,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",6,"No","Yes","ppn_breedy","SE",0.13
"13",2,"3",6,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",2,"3",6,"No","Yes","rel_ad_15_25","SE",0.1
