"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"3",9,"Yes","Yes","Nfad_2015","SE",617.16
"2",2,"3",9,"No","Yes","Nfad_2015","SE",1161.17
"3",2,"3",9,"Yes","Yes","Nfad_2020","SE",824.66
"4",2,"3",9,"No","Yes","Nfad_2020","SE",1224.32
"5",2,"3",9,"Yes","Yes","Nfad_2025","SE",1068.54
"6",2,"3",9,"No","Yes","Nfad_2025","SE",1915.02
"7",2,"3",9,"Yes","Yes","fadsurv","SE",0
"8",2,"3",9,"No","Yes","fadsurv","SE",0.01
"9",2,"3",9,"Yes","Yes","fjusurv","SE",0.02
"10",2,"3",9,"No","Yes","fjusurv","SE",0.03
"11",2,"3",9,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"3",9,"No","Yes","ppn_breedy","SE",0.13
"13",2,"3",9,"Yes","Yes","rel_ad_15_25","SE",0.03
"14",2,"3",9,"No","Yes","rel_ad_15_25","SE",0.09
