"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",1,"Yes","Yes","Nfad_2015","SE",4502.64
"2",1,"1",1,"No","Yes","Nfad_2015","SE",9545.31
"3",1,"1",1,"Yes","Yes","Nfad_2020","SE",6543.25
"4",1,"1",1,"No","Yes","Nfad_2020","SE",10567.02
"5",1,"1",1,"Yes","Yes","Nfad_2025","SE",9270.49
"6",1,"1",1,"No","Yes","Nfad_2025","SE",17967.42
"7",1,"1",1,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",1,"No","Yes","fadsurv","SE",0.02
"9",1,"1",1,"Yes","Yes","fjusurv","SE",0.04
"10",1,"1",1,"No","Yes","fjusurv","SE",0.06
"11",1,"1",1,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"1",1,"No","Yes","ppn_breedy","SE",0.28
"13",1,"1",1,"Yes","Yes","rel_ad_15_25","SE",0.1
"14",1,"1",1,"No","Yes","rel_ad_15_25","SE",0.28
