"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",9,"Yes","Yes","Nfad_2015","SE",661.69
"2",2,"1",9,"No","Yes","Nfad_2015","SE",1358.52
"3",2,"1",9,"Yes","Yes","Nfad_2020","SE",873.41
"4",2,"1",9,"No","Yes","Nfad_2020","SE",1387.12
"5",2,"1",9,"Yes","Yes","Nfad_2025","SE",1150.6
"6",2,"1",9,"No","Yes","Nfad_2025","SE",2101.37
"7",2,"1",9,"Yes","Yes","fadsurv","SE",0
"8",2,"1",9,"No","Yes","fadsurv","SE",0.01
"9",2,"1",9,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",9,"No","Yes","fjusurv","SE",0.03
"11",2,"1",9,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",9,"No","Yes","ppn_breedy","SE",0.13
"13",2,"1",9,"Yes","Yes","rel_ad_15_25","SE",0.04
"14",2,"1",9,"No","Yes","rel_ad_15_25","SE",0.09
