"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"1",9,"Yes","Yes","Nfad_2015","SE",3830.13
"2",1,"1",9,"No","Yes","Nfad_2015","SE",8950.98
"3",1,"1",9,"Yes","Yes","Nfad_2020","SE",5278.69
"4",1,"1",9,"No","Yes","Nfad_2020","SE",8433.77
"5",1,"1",9,"Yes","Yes","Nfad_2025","SE",7436.95
"6",1,"1",9,"No","Yes","Nfad_2025","SE",13352.58
"7",1,"1",9,"Yes","Yes","fadsurv","SE",0.01
"8",1,"1",9,"No","Yes","fadsurv","SE",0.02
"9",1,"1",9,"Yes","Yes","fjusurv","SE",0.04
"10",1,"1",9,"No","Yes","fjusurv","SE",0.05
"11",1,"1",9,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"1",9,"No","Yes","ppn_breedy","SE",0.25
"13",1,"1",9,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",1,"1",9,"No","Yes","rel_ad_15_25","SE",0.22
