"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",2,"1",4,"Yes","Yes","Nfad_2015","SE",504.3
"2",2,"1",4,"No","Yes","Nfad_2015","SE",1202.99
"3",2,"1",4,"Yes","Yes","Nfad_2020","SE",554.46
"4",2,"1",4,"No","Yes","Nfad_2020","SE",930.78
"5",2,"1",4,"Yes","Yes","Nfad_2025","SE",702.56
"6",2,"1",4,"No","Yes","Nfad_2025","SE",1156.38
"7",2,"1",4,"Yes","Yes","fadsurv","SE",0
"8",2,"1",4,"No","Yes","fadsurv","SE",0.01
"9",2,"1",4,"Yes","Yes","fjusurv","SE",0.02
"10",2,"1",4,"No","Yes","fjusurv","SE",0.02
"11",2,"1",4,"Yes","Yes","ppn_breedy","SE",0.01
"12",2,"1",4,"No","Yes","ppn_breedy","SE",0.1
"13",2,"1",4,"Yes","Yes","rel_ad_15_25","SE",0.02
"14",2,"1",4,"No","Yes","rel_ad_15_25","SE",0.05
