"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",7,"Yes","Yes","Nfad_2015","SE",3704.59
"2",1,"3",7,"No","Yes","Nfad_2015","SE",8823.62
"3",1,"3",7,"Yes","Yes","Nfad_2020","SE",4843.97
"4",1,"3",7,"No","Yes","Nfad_2020","SE",7734.53
"5",1,"3",7,"Yes","Yes","Nfad_2025","SE",6657.44
"6",1,"3",7,"No","Yes","Nfad_2025","SE",11307.42
"7",1,"3",7,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",7,"No","Yes","fadsurv","SE",0.02
"9",1,"3",7,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",7,"No","Yes","fjusurv","SE",0.05
"11",1,"3",7,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",7,"No","Yes","ppn_breedy","SE",0.25
"13",1,"3",7,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",1,"3",7,"No","Yes","rel_ad_15_25","SE",0.19
