"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",8,"Yes","Yes","Nfad_2015","SE",3412.05
"2",1,"3",8,"No","Yes","Nfad_2015","SE",8562.56
"3",1,"3",8,"Yes","Yes","Nfad_2020","SE",4222.08
"4",1,"3",8,"No","Yes","Nfad_2020","SE",7117.42
"5",1,"3",8,"Yes","Yes","Nfad_2025","SE",5712.3
"6",1,"3",8,"No","Yes","Nfad_2025","SE",9548.16
"7",1,"3",8,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",8,"No","Yes","fadsurv","SE",0.01
"9",1,"3",8,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",8,"No","Yes","fjusurv","SE",0.04
"11",1,"3",8,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",8,"No","Yes","ppn_breedy","SE",0.23
"13",1,"3",8,"Yes","Yes","rel_ad_15_25","SE",0.06
"14",1,"3",8,"No","Yes","rel_ad_15_25","SE",0.16
