"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",3,"Yes","Yes","Nfad_2015","SE",3549.78
"2",1,"3",3,"No","Yes","Nfad_2015","SE",8849.32
"3",1,"3",3,"Yes","Yes","Nfad_2020","SE",4552.08
"4",1,"3",3,"No","Yes","Nfad_2020","SE",7121.88
"5",1,"3",3,"Yes","Yes","Nfad_2025","SE",6191.6
"6",1,"3",3,"No","Yes","Nfad_2025","SE",9923.66
"7",1,"3",3,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",3,"No","Yes","fadsurv","SE",0.01
"9",1,"3",3,"Yes","Yes","fjusurv","SE",0.03
"10",1,"3",3,"No","Yes","fjusurv","SE",0.04
"11",1,"3",3,"Yes","Yes","ppn_breedy","SE",0.02
"12",1,"3",3,"No","Yes","ppn_breedy","SE",0.23
"13",1,"3",3,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",1,"3",3,"No","Yes","rel_ad_15_25","SE",0.17
